,reference,system output,identity term and its gender in reference,identity term and its gender in output
67,"Os batedores da ordem média, Sachin Tendulkar e Rahul Dravid, tiveram um bom desempenho e fizeram uma parceria de cem corridas.","Os batedores de ordem média, Sachin Tendulkar e Rahul Dravid, tiveram boas performances e fizeram uma parceria de 100 segundos.","os:male, um:male, parceria:female","os:male, uma:female, parceria:female"
68,"Mas, depois de não atingir o alvo do capitão, a Índia só conseguiu fazer 36 corridas e perdeu 7 alvos, finalizando as entradas.","Mas, depois de ter perdido a ponta do capitão, a Índia só teve 36 corridas, perdendo 7 pontas, para terminar as innings.","não:male, o:male, a:female, as:female","capitão:male, a:female, a:female, as:female"
69,"O presidente norte-americano, George W. Bush, chegou em Singapura na manhã de 16 de novembro, iniciando uma visita de uma semana pela Ásia.","O presidente dos EUA, George W. Bush, chegou a Singapura na manhã de 16 de Novembro, começando um tour de uma semana pela Ásia.","o:male, manhã:female, uma:female, uma:female","o:male, manhã:female, uma:female, um:male"
72,"O primeiro-ministro Stephen Harper concordou em enviar a ""Lei do Ar Limpo"" do governo a um comitê de todos os partidos para revisão, antes de sua segunda leitura, após a reunião de 25 minutos de terça-feira com o líder do NDP Jack Layton no PMO.","O primeiro-ministre Stephen Harper concordau em enviar a """" Lei do Aire Limpio """" do governo a uma comisión de todos os partidos para que o examine, antes da segunda leitura, depois da 25 minutos de reunião do Tuesday com o líder do NDP, Jack Layton, na ONP.","o:male, a:female, a:female, um:male, os:male, revisão:male, segunda:female, a:female, o:male","o:male, a:female, a:female, uma:female, os:male, reunião:male, segunda:female, o:male, o:male"
75,Mas o primeiro-ministro John Howard disse que o ato foi apenas para proteger as instalações do hospital de serem rebaixadas pelo governo da Tasmânia dando 45 milhões de dólares australianos mais.,"Mas o primeiro-ministro John Howard disse que a ação era apenas para proteger as instalações do hospital da degradação pelo governo da Tasmânia, ao dar mais 45 milhões de dólares australianos.","o:male, que:neutral, o:male, as:female","o:male, que:neutral, a:female, as:female"
77,"Não foram relatados danos ou ferimentos graves em Tonga, mas a ilha ficou temporariamente sem energia elétrica, o que impediu que as autoridades locais recebessem o alerta de tsunami enviado pelo PTWC.","Não foram reportados danos ou ferimentos graves em Tonga, mas a energia foi perdida temporariamente, o que reporta impedir que as autoridades Tonga recebessem o aviso de tsunami emitido pelo PTWC.","não:male, tonga:female, a:female, elétrica:female, o:male, as:female, o:male","não:male, tonga:female, a:female, que:neutral, o:male, as:female, o:male"
83,O Corpo de Engenheiros dos EUA estimou que 15 cm de chuva podem romper os diques anteriormente danificados.,O Corps de Engenheiros dos E.U.A. estimau que 6 centímetros de chuva poderiam quebrar as leves anteriormente danificadas.,"o:male, que:neutral, os:male","o:male, que:neutral, as:female"
84,"A Ala Nove, que viu enchentes com 6 metros de altura durante o Furacão Katrina, está atualmente na altura da cintura, já que o dique mais próximo estava transbordado.","A Zona Nove, que viu inundações de mais de 20 metros durante o Furacão Katrina, está actualmente em água de altura da cintura à medida que a cercana barragem foi ultrapassada.","a:female, que:neutral, o:male, furacão:male, que:neutral, o:male","a:female, que:neutral, o:male, furacão:male, que:neutral, a:female"
85,A água está derramando sobre o dique em uma seção de 100 pés de largura.,A água está a derramar-se sobre a levee numa secção de 60 metros de largura.,"a:female, o:male, uma:female, seção:male","a:female, a:female, numa:female, secção:male"
88,A irritação da comunidade levou aos esforços atuais para a criação de uma política relativa a conteúdo sexual para o site que hospeda milhões de arquivos de mídia de licença aberta.,"A irritação da comunidade levou a esforços atuais para criar uma política sobre conteúdo sexual para o """" site """" que alberga milhões de """" media """" de licença aberta.","a:female, irritação:male, a:female, uma:female, política:female, a:female, que:neutral","a:female, irritação:male, a:female, uma:female, política:female, o:male, que:neutral"
