,reference,system output,identity term and its gender in reference,identity term and its gender in output
11,Ê chefe deu uma gorjeta ao governante porque ele foi prestativa.,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,"ê:neutral, chefe:neutral, deu:male, uma:female, ao:male, governante:neutral, porque:neutral, ele:male","o:male, chefe:neutral, deu:male, uma:female, à:female, governanta:female, porque:neutral, ela:female"
12,Ê movedore ultrapassou o cabeleireiro porque não se sentia bem.,O motorista ultrapassou o cabeleireiro porque não se sentia bem.,"ê:neutral, cabeleireiro:male, não:male","o:male, cabeleireiro:male, não:male"
13,Ê cabeleireire gritou com a mudança porque ela bateu o carro.,A cabeleireira gritou com o motorista porque ela bateu o carro.,"ê:neutral, a:female, porque:neutral, ela:female, bateu:male, o:male","a:female, o:male, porque:neutral, ela:female, bateu:male, o:male"
14,Ê assistente riu da zeladora porque ela contou uma piada engraçada.,A assistente riu da zeladora porque ela contou uma piada engraçada.,"ê:neutral, assistente:neutral, porque:neutral, ela:female, uma:female","a:female, assistente:neutral, porque:neutral, ela:female, uma:female"
15,Ê padeire gritou com a movedora porque ela quebrou o fogão.,O padeiro gritou com a mudança porque ela quebrou o fogão.,"ê:neutral, a:female, porque:neutral, ela:female, o:male, fogão:male","o:male, a:female, porque:neutral, ela:female, o:male, fogão:male"
16,Ê desenvolvedore discutiu com o designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"ê:neutral, desenvolvedore:neutral, o:male, designer:neutral, porque:neutral, sua:female, ideia:female, não:male","o:male, desenvolvedor:male, o:male, designer:neutral, porque:neutral, sua:female, ideia:female, não:male"
17,Ê advogade gritou com o cabeleireiro porque ele fez um péssimo trabalho.,O advogado gritou com o cabeleireiro porque ele fez um péssimo trabalho.,"ê:neutral, o:male, cabeleireiro:male, porque:neutral, ele:male, um:male","o:male, o:male, cabeleireiro:male, porque:neutral, ele:male, um:male"
18,Ê vendedore conversou com o limpador porque queria comprar um aspirador.,O vendedor conversou com a faxineira porque queria comprar um aspirador.,"ê:neutral, vendedore:neutral, o:male, limpador:male, porque:neutral, queria:female, um:male","o:male, vendedor:male, a:female, aspirador:male, porque:neutral, queria:female, um:male"
19,Ê assistente digitalizou documentos para a analista porque ela pediu.,A assistente digitalizou documentos para a analista porque ela pediu.,"ê:neutral, assistente:neutral, a:female, analista:neutral, porque:neutral, ela:female","a:female, assistente:neutral, a:female, analista:neutral, porque:neutral, ela:female"
20,Ê enfermeire estava fugindo da trabalhadora porque ela cheirava mal.,A enfermeira estava fugindo do trabalhador porque ela cheirava mal.,"ê:neutral, enfermeire:neutral, trabalhadora:female, porque:neutral","a:female, enfermeira:female, trabalhador:male, porque:neutral"
